person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,team_id,team_city,team_name,team_abbreviation,team_code,games_played_flag,name,lower_name
2427,"Mason Jr., Roger",Roger Mason Jr.,FALSE,2002,2013,roger_mason jr.,0,,,,,Y,Roger Mason Jr.,roger mason jr.
101232,"Powell, Roger",Roger Powell,FALSE,2006,2006,roger_powell,0,,,,,Y,Roger Powell,roger powell
101146,"Ukic, Roko",Roko Ukic,FALSE,2008,2009,roko_ukic,0,,,,,Y,Roko Ukic,roko ukic
1627758,"Baker, Ron",Ron Baker,FALSE,2016,2018,ron_baker,0,,,,,Y,Ron Baker,ron baker
166,"Harper, Ron",Ron Harper,FALSE,1986,2000,ron_harper,0,,,,,Y,Ron Harper,ron harper
1500,"Mercer, Ron",Ron Mercer,FALSE,1997,2004,ron_mercer,0,,,,,Y,Ron Mercer,ron mercer
2648,"Dupree, Ronald",Ronald Dupree,FALSE,2003,2010,ronald_dupree,0,,,,,Y,Ronald Dupree,ronald dupree
1626178,"Hollis-Jefferson, Rondae",Rondae Hollis-Jefferson,TRUE,2015,2018,rondae_hollis-jefferson,1610612751,Brooklyn,Nets,BKN,nets,Y,Rondae Hollis-Jefferson,rondae hollis-jefferson
200758,"Brewer, Ronnie",Ronnie Brewer,FALSE,2006,2013,ronnie_brewer,0,,,,,Y,Ronnie Brewer,ronnie brewer
101179,"Price, Ronnie",Ronnie Price,TRUE,2005,2016,ronnie_price,1610612756,Phoenix,Suns,PHX,suns,Y,Ronnie Price,ronnie price
101142,"Turiaf, Ronny",Ronny Turiaf,FALSE,2005,2014,ronny_turiaf,0,,,,,Y,Ronny Turiaf,ronny turiaf
938,"Seikaly, Rony",Rony Seikaly,FALSE,1988,1998,rony_seikaly,0,,,,,Y,Rony Seikaly,rony seikaly
1728,"McLeod, Roshown",Roshown McLeod,FALSE,1998,2000,roshown_mcleod,0,,,,,Y,Roshown McLeod,roshown mcleod
201579,"Hibbert, Roy",Roy Hibbert,TRUE,2008,2016,roy_hibbert,1610612747,Los Angeles,Lakers,LAL,lakers,Y,Roy Hibbert,roy hibbert
964,"Rogers, Roy",Roy Rogers,FALSE,1996,1999,HISTADD_roy_rogers,0,,,,,Y,Roy Rogers,roy rogers
2767,"Ivey, Royal",Royal Ivey,FALSE,2004,2013,royal_ivey,0,,,,,Y,Royal Ivey,royal ivey
1626220,"O'Neale, Royce",Royce O'Neale,FALSE,2017,2018,royce_o'neale,0,,,,,Y,Royce O'Neale,royce o'neale
203091,"White, Royce",Royce White,FALSE,2012,2013,royce_white,0,,,,,Y,Royce White,royce white
2257,"Boumtje-Boumtje, Ruben",Ruben Boumtje-Boumtje,FALSE,2001,2003,ruben_boumtje-boumtje,0,,,,,Y,Ruben Boumtje-Boumtje,ruben boumtje-boumtje
2092,"Garces, Ruben",Ruben Garces,FALSE,2000,2000,ruben_garces,0,,,,,Y,Ruben Garces,ruben garces
1129,"Nembhard, Ruben",Ruben Nembhard,FALSE,1996,1996,ruben_nembhard,0,,,,,Y,Ruben Nembhard,ruben nembhard
1739,"Patterson, Ruben",Ruben Patterson,FALSE,1998,2007,ruben_patterson,0,,,,,Y,Ruben Patterson,ruben patterson
2106,"Wolkowyski, Ruben",Ruben Wolkowyski,FALSE,2000,2002,ruben_wolkowyski,0,,,,,Y,Ruben Wolkowyski,ruben wolkowyski
201164,"Fernandez, Rudy",Rudy Fernandez,FALSE,2008,2011,rudy_fernandez,0,,,,,Y,Rudy Fernandez,rudy fernandez
200752,"Gay, Rudy",Rudy Gay,TRUE,2006,2018,rudy_gay,1610612758,Sacramento,Kings,SAC,kings,Y,Rudy Gay,rudy gay
203497,"Gobert, Rudy",Rudy Gobert,TRUE,2013,2018,rudy_gobert,1610612762,Utah,Jazz,UTA,jazz,Y,Rudy Gobert,rudy gobert
716,"Robinson, Rumeal",Rumeal Robinson,FALSE,1990,1996,rumeal_robinson,0,,,,,Y,Rumeal Robinson,rumeal robinson
203893,"Smith, Russ",Russ Smith,FALSE,2014,2015,russ_smith,0,,,,,Y,Russ Smith,russ smith
201566,"Westbrook, Russell",Russell Westbrook,TRUE,2008,2018,russell_westbrook,1610612760,Oklahoma City,Thunder,OKC,thunder,Y,Russell Westbrook,russell westbrook
1601,"LaRue, Rusty",Rusty LaRue,FALSE,1997,2003,rusty_larue,0,,,,,Y,Rusty LaRue,rusty larue
201583,"Anderson, Ryan",Ryan Anderson,TRUE,2008,2018,ryan_anderson,1610612740,New Orleans,Pelicans,NOP,pelicans,Y,Ryan Anderson,ryan anderson
1627853,"Arcidiacono, Ryan",Ryan Arcidiacono,FALSE,2017,2018,ryan_arcidiacono,0,,,,,Y,Ryan Arcidiacono,ryan arcidiacono
1763,"Bowen, Ryan",Ryan Bowen,FALSE,1999,2009,ryan_bowen,0,,,,,Y,Ryan Bowen,ryan bowen
1629151,"Broekhoff, Ryan",Ryan Broekhoff,FALSE,2018,2018,ryan_broekhoff,0,,,,,Y,Ryan Broekhoff,ryan broekhoff
101155,"Gomes, Ryan",Ryan Gomes,FALSE,2005,2013,ryan_gomes,0,,,,,Y,Ryan Gomes,ryan gomes
200797,"Hollins, Ryan",Ryan Hollins,FALSE,2006,2015,ryan_hollins,0,,,,,Y,Ryan Hollins,ryan hollins
2415,"Humphrey, Ryan",Ryan Humphrey,FALSE,2002,2004,ryan_humphrey,0,,,,,Y,Ryan Humphrey,ryan humphrey
203527,"Kelly, Ryan",Ryan Kelly,TRUE,2013,2016,ryan_kelly,1610612747,Los Angeles,Lakers,LAL,lakers,Y,Ryan Kelly,ryan kelly
202385,"Reid, Ryan",Ryan Reid,FALSE,2011,2011,ryan_reid,0,,,,,Y,Ryan Reid,ryan reid
1926,"Robertson, Ryan",Ryan Robertson,FALSE,1999,1999,ryan_robertson,0,,,,,Y,Ryan Robertson,ryan robertson
1756,"Stack, Ryan",Ryan Stack,FALSE,1998,1999,ryan_stack,0,,,,,Y,Ryan Stack,ryan stack
1626257,"Mejri, Salah",Salah Mejri,TRUE,2015,2018,salah_mejri,1610612742,Dallas,Mavericks,DAL,mavericks,Y,Salah Mejri,salah mejri
101136,"Stoudamire, Salim",Salim Stoudamire,FALSE,2005,2008,salim_stoudamire,0,,,,,Y,Salim Stoudamire,salim stoudamire
208,"Cassell, Sam",Sam Cassell,FALSE,1993,2007,sam_cassell,0,,,,,Y,Sam Cassell,sam cassell
1626155,"Dekker, Sam",Sam Dekker,TRUE,2015,2018,sam_dekker,1610612745,Houston,Rockets,HOU,rockets,Y,Sam Dekker,sam dekker
1734,"Jacobson, Sam",Sam Jacobson,FALSE,1998,2000,sam_jacobson,0,,,,,Y,Sam Jacobson,sam jacobson
694,"Mack, Sam",Sam Mack,FALSE,1992,2001,sam_mack,0,,,,,Y,Sam Mack,sam mack
417,"Mitchell, Sam",Sam Mitchell,FALSE,1989,2001,sam_mitchell,0,,,,,Y,Sam Mitchell,sam mitchell
64,"Perkins, Sam",Sam Perkins,FALSE,1984,2000,sam_perkins,0,,,,,Y,Sam Perkins,sam perkins
201970,"Young, Sam",Sam Young,FALSE,2009,2012,sam_young,0,,,,,Y,Sam Young,sam young
955,"Walker, Samaki",Samaki Walker,FALSE,1996,2005,samaki_walker,0,,,,,Y,Samaki Walker,samaki walker
202396,"Samuels, Samardo",Samardo Samuels,FALSE,2010,2012,samardo_samuels,0,,,,,Y,Samardo Samuels,samardo samuels
2223,"Dalembert, Samuel",Samuel Dalembert,FALSE,2001,2014,samuel_dalembert,0,,,,,Y,Samuel Dalembert,samuel dalembert
101180,"Jasikevicius, Sarunas",Sarunas Jasikevicius,FALSE,2005,2006,sarunas_jasikevicius,0,,,,,Y,Sarunas Jasikevicius,sarunas jasikevicius
36,"Marciulionis, Sarunas",Sarunas Marciulionis,FALSE,1989,1996,sarunas_marciulionis,0,,,,,Y,Sarunas Marciulionis,sarunas marciulionis
390,"Danilovic, Sasha",Sasha Danilovic,FALSE,1995,1996,sasha_danilovic,0,,,,,Y,Sasha Danilovic,sasha danilovic
201619,"Kaun, Sasha",Sasha Kaun,TRUE,2015,2015,sasha_kaun,1610612739,Cleveland,Cavaliers,CLE,cavaliers,Y,Sasha Kaun,sasha kaun
2562,"Pavlovic, Sasha",Sasha Pavlovic,FALSE,2003,2012,sasha_pavlovic,0,,,,,Y,Sasha Pavlovic,sasha pavlovic
2756,"Vujacic, Sasha",Sasha Vujacic,TRUE,2004,2016,sasha_vujacic,1610612752,New York,Knicks,NYK,knicks,Y,Sasha Vujacic,sasha vujacic
1513,"Pollard, Scot",Scot Pollard,FALSE,1997,2007,scot_pollard,0,,,,,Y,Scot Pollard,scot pollard
418,"Brooks, Scott",Scott Brooks,FALSE,1988,1997,scott_brooks,0,,,,,Y,Scott Brooks,scott brooks
197,"Burrell, Scott",Scott Burrell,FALSE,1993,2000,scott_burrell,0,,,,,Y,Scott Burrell,scott burrell
203159,"Machado, Scott",Scott Machado,FALSE,2012,2018,scott_machado,0,,,,,Y,Scott Machado,scott machado
1909,"Padgett, Scott",Scott Padgett,FALSE,1999,2006,scott_padgett,0,,,,,Y,Scott Padgett,scott padgett
281,"Williams, Scott",Scott Williams,FALSE,1990,2004,scott_williams,0,,,,,Y,Scott Williams,scott williams
937,"Pippen, Scottie",Scottie Pippen,FALSE,1987,2003,scottie_pippen,0,,,,,Y,Scottie Pippen,scottie pippen
203816,"Hopson, Scotty",Scotty Hopson,FALSE,2013,2017,scotty_hopson,0,,,,,Y,Scotty Hopson,scotty hopson
2173,"Colson, Sean",Sean Colson,FALSE,2000,2002,sean_colson,0,,,,,Y,Sean Colson,sean colson
251,"Elliott, Sean",Sean Elliott,FALSE,1989,2000,sean_elliott,0,,,,,Y,Sean Elliott,sean elliott
925,"Higgins, Sean",Sean Higgins,FALSE,1990,1997,sean_higgins,0,,,,,Y,Sean Higgins,sean higgins
203930,"Kilpatrick, Sean",Sean Kilpatrick,TRUE,2014,2017,sean_kilpatrick,1610612751,Brooklyn,Nets,BKN,nets,Y,Sean Kilpatrick,sean kilpatrick
2253,"Lampley, Sean",Sean Lampley,FALSE,2002,2003,sean_lampley,0,,,,,Y,Sean Lampley,sean lampley
1752,"Marks, Sean",Sean Marks,FALSE,1998,2010,sean_marks,0,,,,,Y,Sean Marks,sean marks
101118,"May, Sean",Sean May,FALSE,2005,2009,sean_may,0,,,,,Y,Sean May,sean may
399,"Rooks, Sean",Sean Rooks,FALSE,1992,2003,sean_rooks,0,,,,,Y,Sean Rooks,sean rooks
201606,"Singletary, Sean",Sean Singletary,FALSE,2008,2008,sean_singletary,0,,,,,Y,Sean Singletary,sean singletary
201157,"Williams, Sean",Sean Williams,FALSE,2007,2011,sean_williams,0,,,,,Y,Sean Williams,sean williams
2742,"Telfair, Sebastian",Sebastian Telfair,FALSE,2004,2014,sebastian_telfair,0,,,,,Y,Sebastian Telfair,sebastian telfair
9,"Threatt, Sedale",Sedale Threatt,FALSE,1983,1996,sedale_threatt,0,,,,,Y,Sedale Threatt,sedale threatt
203902,"Christon, Semaj",Semaj Christon,FALSE,2016,2016,semaj_christon,0,,,,,Y,Semaj Christon,semaj christon
1628400,"Ojeleye, Semi",Semi Ojeleye,FALSE,2017,2018,semi_ojeleye,0,,,,,Y,Semi Ojeleye,semi ojeleye
201623,"Erden, Semih",Semih Erden,FALSE,2010,2011,semih_erden,0,,,,,Y,Semih Erden,semih erden
201586,"Ibaka, Serge",Serge Ibaka,TRUE,2009,2018,serge_ibaka,1610612760,Oklahoma City,Thunder,OKC,thunder,Y,Serge Ibaka,serge ibaka
2752,"Monia, Sergei",Sergei Monia,FALSE,2005,2005,sergei_monia,0,,,,,Y,Sergei Monia,sergei monia
203508,"Karasev, Sergey",Sergey Karasev,TRUE,2013,2015,sergey_karasev,1610612751,Brooklyn,Nets,BKN,nets,Y,Sergey Karasev,sergey karasev
200771,"Rodriguez, Sergio",Sergio Rodriguez,FALSE,2006,2016,sergio_rodriguez,0,,,,,Y,Sergio Rodriguez,sergio rodriguez
203552,"Curry, Seth",Seth Curry,TRUE,2013,2018,seth_curry,1610612758,Sacramento,Kings,SAC,kings,Y,Seth Curry,seth curry
203498,"Muhammad, Shabazz",Shabazz Muhammad,TRUE,2013,2017,shabazz_muhammad,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Y,Shabazz Muhammad,shabazz muhammad
203894,"Napier, Shabazz",Shabazz Napier,TRUE,2014,2018,shabazz_napier,1610612753,Orlando,Magic,ORL,magic,Y,Shabazz Napier,shabazz napier
1628983,"Gilgeous-Alexander, Shai",Shai Gilgeous-Alexander,FALSE,2018,2018,shai_gilgeous-alexander,0,,,,,Y,Shai Gilgeous-Alexander,shai gilgeous-alexander
1629003,"Milton, Shake",Shake Milton,FALSE,2018,2018,shake_milton,0,,,,,Y,Shake Milton,shake milton
1742,"Williams, Shammond",Shammond Williams,FALSE,1998,2006,shammond_williams,0,,,,,Y,Shammond Williams,shammond williams
1000,"Anderson, Shandon",Shandon Anderson,FALSE,1996,2005,shandon_anderson,0,,,,,Y,Shandon Anderson,shandon anderson
2203,"Battier, Shane",Shane Battier,FALSE,2001,2013,shane_battier,0,,,,,Y,Shane Battier,shane battier
202197,"Edwards, Shane",Shane Edwards,FALSE,2013,2013,shane_edwards,0,,,,,Y,Shane Edwards,shane edwards
1049,"Heal, Shane",Shane Heal,FALSE,1996,2003,shane_heal,0,,,,,Y,Shane Heal,shane heal
203499,"Larkin, Shane",Shane Larkin,TRUE,2013,2017,shane_larkin,1610612751,Brooklyn,Nets,BKN,nets,Y,Shane Larkin,shane larkin
200769,"Brown, Shannon",Shannon Brown,FALSE,2006,2014,shannon_brown,0,,,,,Y,Shannon Brown,shannon brown
1627885,"Harrison, Shaquille",Shaquille Harrison,FALSE,2017,2018,shaquille_harrison,0,,,,,Y,Shaquille Harrison,shaquille harrison
406,"O'Neal, Shaquille",Shaquille O'Neal,FALSE,1992,2010,shaquille_o'neal,0,,,,,Y,Shaquille O'Neal,shaquille o'neal
949,"Abdur-Rahim, Shareef",Shareef Abdur-Rahim,FALSE,1996,2007,shareef_abdur-rahim,0,,,,,Y,Shareef Abdur-Rahim,shareef abdur-rahim
412,"Wright, Sharone",Sharone Wright,FALSE,1994,1997,sharone_wright,0,,,,,Y,Sharone Wright,sharone wright
101213,"Ford, Sharrod",Sharrod Ford,FALSE,2005,2005,sharrod_ford,0,,,,,Y,Sharrod Ford,sharrod ford
2733,"Livingston, Shaun",Shaun Livingston,TRUE,2004,2018,shaun_livingston,1610612744,Golden State,Warriors,GSW,warriors,Y,Shaun Livingston,shaun livingston
101183,"Randolph, Shavlik",Shavlik Randolph,FALSE,2005,2014,shavlik_randolph,0,,,,,Y,Shavlik Randolph,shavlik randolph
